Rank,Model,Accuracy,Precision,Recall,F1_Weighted,ROC_AUC
1,XGBoost,0.3579,0.3494,0.3579,0.3503,0.5093
2,Voting Classifier,0.3553,0.3458,0.3553,0.3466,0.5096
3,Random Forest,0.3541,0.3449,0.3541,0.346,0.5057
4,Decision Tree (SMOTE),0.3424,0.3493,0.3424,0.3433,0.5094
5,Decision Tree,0.3371,0.3404,0.3371,0.3382,0.4996
6,Logistic Regression (SMOTE),0.3383,0.3449,0.3383,0.338,0.5053
7,Logistic Regression,0.3293,0.3361,0.3293,0.3307,0.4994
8,Neural Network (MLP) (SMOTE),0.3284,0.3488,0.3284,0.3208,0.5106
9,Random Forest (SMOTE),0.3226,0.3429,0.3226,0.3154,0.505
10,Voting Classifier (SMOTE),0.316,0.3449,0.316,0.2954,0.5077
11,XGBoost (SMOTE),0.3138,0.3416,0.3138,0.2912,0.5072
12,SVM,0.3895,0.3417,0.3895,0.2609,N/A
13,SVM (SMOTE),0.3063,0.3608,0.3063,0.2462,N/A
14,Neural Network (MLP),0.3968,0.1576,0.3968,0.2256,0.5013
